Zip Code,Median Household income 
6757,80000
6758,90750
6759,108636
6762,120645
6763,100952
6770,77929
6776,99957
6777,90380
6778,80644
6779,76716
6782,79777
6783,126750
6784,118953
6785,99107
6786,82976
6787,80792
6790,74410
6791,107607
6793,88456
6794,122692
6795,113719
6796,99250
6798,97070
6801,110324
6804,122469
6807,156912
6810,62840
6811,100485
6812,111977
6820,"250,000+"
6824,156481
6825,131935
6830,147847
6831,157188
6840,241250
6850,101190
6851,111480
6853,212857
6854,67467
6855,102439
6856,-
6870,248445
6877,169112
6878,241500
6880,224128
6883,"250,000+"
6890,203240
6896,160669
6897,205988
6901,76910
6902,73470
6903,233485
6905,133125
6906,90651
6907,99286
7001,83625
7002,63066
7003,87386
7004,116149
7005,120743
7006,138060
7008,75079
7009,133704
7010,75607
7011,63645
7012,107312
7013,103526
7014,105417
7016,137620
7017,51350
7018,45545
7020,125810
7021,196528
7022,61639
7023,144559
7024,99512
7026,54902
7027,87614
7028,201157
7029,57500
7030,177088
7031,89549
7032,65811
7033,108584
7034,100208
7035,96047
7036,72495
7039,170127
7040,146533
7041,140400
7042,114840
7043,222500
7044,142022
7045,173488
7046,190577
7047,60401
7050,39348
7052,111841
7054,101244
7055,37708
7057,65050
7058,126200
7059,167639
7060,62692
7062,67234
7063,76087
7064,82022
7065,76011
7066,112321
7067,109837
7068,131635
7069,153563
7070,106961
7071,95677
7072,88281
7073,92813
7074,76579
7075,113047
7076,131814
7077,101389
7078,"250,000+"
7079,148629
7080,103008
7081,125765
7082,140903
7083,92938
7086,105833
7087,41782
7088,54844
7090,178255
7092,147319
7093,50861
7094,103188
7095,91106
7102,36329
7103,31589
7104,39159
7105,43583
7106,39813
7107,39413
7108,32381
7109,75799
7110,109673
7111,44650
7112,43495
7114,28049
7201,44103
7202,46896
7203,64217
7204,79810
7205,69994
7206,41656
7208,49821
7302,136753
7304,55228
7305,51098
7306,54773
7307,62654
7310,160927
7311,"250,000+"
7401,158088
7403,81944
7405,127926
7407,80804
7410,117667
7416,69590
7417,179042
7418,122500
7419,96468
7420,78701
7421,102665
7422,92967
7423,186577
7424,95526
7430,132379
7432,128125
7435,134722
7436,123264
7438,110921
7439,94917
7440,105841
7442,108867
7444,123178
7446,167625
7450,183796
7452,183864
7456,125685
7457,116500
7458,172379
7460,107500
7461,95359
7462,105098
7463,122109
7465,101875
7470,128700
7480,116530
7481,167278
7495,-
7501,30973
7502,57929
7503,36783
7504,65453
7505,31354
7506,107974
7508,87140
7512,110926
7513,42222
7514,44066
7522,31463
7524,37134
7601,67043
7603,83966
7604,101011
7605,101381
