Zip Code,Median Household income
6105,34623
6106,36460
6107,133519
6108,51722
6109,86216
6110,73938
6111,81646
6112,38557
6114,37756
6117,143141
6118,61314
6119,88963
6120,27324
6160,-
6226,37339
6231,125430
6232,105328
6234,76156
6235,76750
6237,109712
6238,96375
6239,54580
6241,71635
6242,94375
6243,-
6247,80129
6248,111758
6249,91684
6250,88611
6254,96719
6255,76375
6256,52978
6259,94722
6260,60290
6262,62946
6263,-
6264,88750
6266,60895
6268,47510
6269,-
6277,87091
6278,70893
6279,76908
6280,77750
6281,84200
6282,91131
6320,46341
6330,70067
6331,91973
6332,73214
6333,126799
6334,88750
6335,97347
6336,200114
6339,93628
6340,59240
6350,61250
6351,70110
6353,-
6354,66851
6355,96687
6357,79333
6359,68375
6360,58269
6365,79444
6370,79980
6371,97334
6373,-
6374,72828
6375,97750
6376,-
6377,83102
6378,98594
6379,66648
6380,38319
6382,70610
6384,75000
6385,87788
6387,103152
6389,-
6390,61125
6401,55033
6403,85024
6405,77225
6409,63194
6410,120396
6412,88167
6413,79673
6414,199464
6415,104863
6416,89243
6417,85960
6418,55786
6419,110543
6420,109972
6422,119905
6423,103356
6424,95900
6426,106250
6437,111870
6438,126801
6441,108508
6442,88466
6443,113798
6444,-
6447,112557
6450,60671
6451,57261
6455,107614
6456,73875
6457,65572
6460,88085
6461,103047
6467,113790
6468,118669
6469,90735
6470,124909
6471,82993
6472,101429
6473,97796
6475,83132
6477,121308
6478,110111
6479,90091
6480,99292
6481,78208
6482,137100
6483,76195
6484,97131
6488,98790
6489,95684
6492,80884
6498,79551
6510,61250
6511,41904
6512,64201
6513,45502
6514,73078
6515,52048
6516,62985
6517,85489
6518,81358
6519,29332
6524,129133
6525,157610
6604,36738
6605,44372
6606,58538
6607,42103
6608,34743
6610,45478
6611,122494
6612,157617
6614,87077
6615,66815
6702,12908
6704,40625
6705,46228
6706,43017
6708,53438
6710,33929
6712,101389
6716,95257
6750,63542
6751,98409
6752,112778
6754,87453
6755,99375
6756,109205
6757,78125
6758,107188
6759,93198
6762,121891
6763,81625
6770,74870
6776,89102
6777,106618
6778,65720
6779,72591
6782,89940
6783,118603
6784,99704
6785,68482
6786,79172
6787,68208
6790,63057
6791,111202
6793,126635
6794,95500
6795,90374
6796,90667
6798,81362
6801,101806
6804,112885
6807,153309
6810,63439
6811,95444
6812,112457
6820,232523
6824,149892
6825,112907
6830,119838
6831,167083
6840,190227
6850,95038
6851,96769
6853,209464
6854,69659
6855,64969
6856,-
6870,215850
6877,164010
6878,222188
6880,201528
6883,222535
6890,196379
6896,132770
6897,193292
6901,76429
6902,76970
6903,201711
6905,126425
6906,101500
6907,86890
7001,69849
7002,63947
7003,78034
7004,122063
7005,111946
7006,127921
7008,73347
7009,123768
7010,72633
7011,59519
7012,81361
7013,92312
7014,89349
7016,129781
7017,48673
7018,47094
7020,127221
7021,213309
7022,57698
7023,147905
7024,83767
7026,62867
7027,88892
7028,198625
7029,69389
7030,147620
7031,84527
7032,70658
7033,93208
7034,86799
7035,98136
7036,72432
7039,166629
7040,138870
7041,134732
7042,108708
7043,205735
7044,125000
7045,169095
7046,242083
7047,63908
7050,43039
7052,105584
7054,99251
7055,40944
7057,68845
7058,132402
7059,170096
7060,58707
7062,69590
7063,65377
7064,89022
7065,78946
7066,109924
7067,113136
7068,129006
7069,156408
7070,101473
7071,79985
7072,88827
7073,80896
7074,66976
7075,110625
7076,131630
7077,76813
7078,"250,000+"
7079,138525
7080,101565
7081,111899
7082,130905
7083,90971
7086,101449
7087,48965
7088,64130
7090,171064
7092,120750
7093,57473
7094,114821
7095,86615
7102,25677
7103,30108
7104,37424
7105,44785
7106,41195
7107,31842
7108,27000
7109,70670
7110,99507
7111,45176
7112,36246
7114,29682
7201,47630
7202,50970
7203,64718
7204,75000
7205,75239
7206,42727
7208,49313
7302,136679
7304,48360
7305,55955
7306,59794
7307,63281
7310,147516
7311,188634
7401,170968
7403,94099
7405,116884
7407,77334
7410,123159
7416,68242
7417,172766
7418,133186
7419,88469
7420,83796
7421,95383
7422,100000
7423,216875
7424,87125
7430,107081
7432,121162
7435,123949
7436,126319
7438,111169
7439,89659
7440,134766
7442,102371
7444,98281
7446,147625
7450,184556
7452,187000
7456,122385
7457,110664
7458,162837
7460,109245
7461,89366
7462,88934
7463,124803
7465,102610
7470,123204
7480,100700
7481,153736
7495,-
7501,30467
7502,54940
7503,46520
7504,60231
7505,18486
7506,97692
7508,79444
7512,105637
7513,44315
7514,43776
7522,37658
7524,38794
7601,70090
7603,91232
7604,94801
7605,102250
7606,72500
7607,94317
7608,36429
7620,130962
7621,96335
7624,140357
7626,151442
7627,154500
7628,100219
7630,128093
7631,85733
7632,149358
7640,134688
7641,178450
7642,146108
7643,66098
7644,66595
7645,146708
7646,94344
7647,109844
7648,122200
7649,132358
7650,68245
7652,128306
7656,137883
7657,71699
7660,86923
7661,124598
7662,84196
7663,106776
7666,111821
7670,172926
7675,131940
7676,140260
7677,171103
7701,91587
7702,124474
7703,-
7704,179138
7711,130313
7712,69830
7716,92222
7717,92813
7718,125919
7719,100391
7720,64246
7721,77482
7722,174635
7723,65521
7724,82783
7726,118187
7727,80177
7728,91855
7730,101849
7731,109354
7732,61436
7733,148991
7734,62021
7735,79467
7737,110319
7738,152557
7739,179391
7740,60122
7746,154700
7747,109396
7748,121490
7750,135909
7751,153644
7753,73544
7755,103472
7756,63093
7757,89265
7758,95488
7760,168750
7762,81311
7764,109073
7801,73496
7803,91219
7820,-
7821,109167
7822,75625
7823,60842
7825,104918
7826,85131
7827,75625
7828,75528
7830,134375
7832,99243
7833,48375
7834,124593
7836,122292
7838,110139
7840,85094
7842,100694
7843,86846
7846,-
7847,112938
7848,87500
7849,101977
7850,86198
7851,132917
7852,85938
7853,166806
7856,90500
7857,69000
7860,87820
7863,85083
7865,123250
7866,110028
7869,140841
7870,-
7871,137717
7874,97080
7876,131165
7878,100185
7880,123558
7881,-
7882,84135
7885,80685
7901,154688
7920,151365
7921,116250
7922,181392
7924,165677
7926,-
7927,125588
7928,191607
7930,148466
7931,182642
7932,127273
7933,138929
7934,141667
7935,183125
7936,136016
7939,41250
7940,146620
7945,183352
7946,168214
7950,127226
7960,125744
7961,-
7970,243219
7974,154655
7976,94432
7977,87188
7979,135028
7980,122656
7981,118897
8001,71111
8002,82285
8003,133946
8004,96176
8005,73914
8006,74479
8007,75417
8008,87960
8009,90921
8010,64525
8011,-
8012,74573
8014,79338
8015,66039
8016,77281
8019,98500
8020,94297
8021,53799
8022,95917
8023,28988
8026,85625
8027,73083
8028,72313
8029,66974
8030,60371
8031,59646
8033,124375
8034,95012
8035,99375
8036,108521
8037,76073
8038,84583
8039,-
8041,119643
8042,157981
8043,98888
8045,63850
8046,75382
8048,88397
8049,62988
8050,82748
8051,78846
8052,61335
8053,100720
8054,94832
8055,123132
8056,158750
8057,148233
8059,76708
8060,91616
8061,150303
8062,140609
8063,65699
8064,-
8065,72578
8066,51647
8067,87188
8068,61551
8069,51303
8070,69035
8071,77465
8072,73194
8073,-
8074,-
8075,77750
8077,109068
8078,67263
8079,45889
8080,103247
8081,89201
8083,76433
8084,79677
8085,126956
8086,75326
8087,66410
8088,83160
8089,65577
8090,96015
8091,67654
8092,73542
8093,58365
8094,82220
8095,-
8096,70780
8097,90333
8098,92750
8102,21138
8103,27057
8104,23617
8105,33353
8106,82295
8107,58555
8108,97279
